Fichier,Adresse IP,Numéro de port,Date et heure de connexion
usr,127.0.0.1,59808,2023-06-21 01:52:08
lost+found,127.0.0.1,59808,2023-06-21 01:52:08
lib64,127.0.0.1,59808,2023-06-21 01:52:08
swapfile,127.0.0.1,59808,2023-06-21 01:52:08
partage,127.0.0.1,59808,2023-06-21 01:52:08
boot,127.0.0.1,59808,2023-06-21 01:52:08
opt,127.0.0.1,59808,2023-06-21 01:52:08
var,127.0.0.1,59808,2023-06-21 01:52:08
home,127.0.0.1,59808,2023-06-21 01:52:08
srv,127.0.0.1,59808,2023-06-21 01:52:08
bin,127.0.0.1,59808,2023-06-21 01:52:08
etc,127.0.0.1,59808,2023-06-21 01:52:08
proc,127.0.0.1,59808,2023-06-21 01:52:08
initrd.img.old,127.0.0.1,59808,2023-06-21 01:52:08
mnt,127.0.0.1,59808,2023-06-21 01:52:08
lib32,127.0.0.1,59808,2023-06-21 01:52:08
dev,127.0.0.1,59808,2023-06-21 01:52:08
initrd.img,127.0.0.1,59808,2023-06-21 01:52:08
run,127.0.0.1,59808,2023-06-21 01:52:08
cdrom,127.0.0.1,59808,2023-06-21 01:52:08
vmlinuz,127.0.0.1,59808,2023-06-21 01:52:08
sbin,127.0.0.1,59808,2023-06-21 01:52:08
lib,127.0.0.1,59808,2023-06-21 01:52:08
root,127.0.0.1,59808,2023-06-21 01:52:08
snap,127.0.0.1,59808,2023-06-21 01:52:08
media,127.0.0.1,59808,2023-06-21 01:52:08
vmlinuz.old,127.0.0.1,59808,2023-06-21 01:52:08
PARTAGE,127.0.0.1,59808,2023-06-21 01:52:08
sys,127.0.0.1,59808,2023-06-21 01:52:08
tmp,127.0.0.1,59808,2023-06-21 01:52:08
.cache,127.0.0.1,59808,2023-06-21 01:52:08
